CV_CCT|CV_TURNO|TURNO|NOMBRECT|C_NOM_ENT|CV_MUN|C_NOM_MUN|CV_LOC|C_NOM_LOC|C_NOM_VIALIDAD|N_EXTNUM|CONTROL|SUBCONTROL|TIPO|NIVEL|SUBNIVEL|CV_CARACTERIZAN1|C_CARACTERIZAN1|CV_CARACTERIZAN2|C_CARACTERIZAN2|ZONA|JEFSEC|SERVREG|CV_ESTATUS_CAPTURA|PERIODO|V1|V2|V3|V4|V5|V6|V7|V8|V9|V10|V11|V12|V13|V14|V15|V16|V17|V18|V19|V20|V21|V22|V23|V24|V25|V26|V27|V28|V29|V30|V31|V32|V33|V34|V35|V36|V37|V38|V39|V40|FECHA_ENTREGA|
32FIZ0076B|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.76|ZACATECAS|026|MAZAPIL|0004|APIZOLAYA|CALLE APIZOLAYA|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0006M|32ADG0006B|0|I2017|10|15|10|2|0|1|0|1|0|0|0|0|1|1|0|0|0|1|1|2|1|0|0|0|0|0|1|0|0|1|1|0|1|1|0|1|0|1|0|1|26/10/2017 0:00:00|
32FIZ0077A|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.77|ZACATECAS|010|FRESNILLO|0001|FRESNILLO|PROLONGACIÓN AQUILES SERDAN|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0014V|32ADG0025Q|0|I2017|16|15|16|35|0|1|0|1|0|1|1|0|1|1|0|0|0|1|2|3|1|0|0|1|0|0|0|0|1|0|0|0|0|1|0|1|0|1|1|1|05/11/2017 0:00:00|
32FIZ0078Z|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.78|ZACATECAS|019|JALPA|0001|JALPA|CALLE HEROES DE CANANEA COLONIA UNION OBRERA|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0003P|32ADG0003E|0|I2017|9|11|9|1|40|1|0|1|0|0|0|0|0|0|0|0|0|1|0|1|1|0|0|0|0|0|1|0|0|1|1|1|1|1|0|1|1|1|1|1|31/10/2017 0:00:00|
32FIZ0079Z|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.79|ZACATECAS|019|JALPA|0001|JALPA|CALLE HEROES DE CANANEA COLONIA UNION OBRERA|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0003P|32ADG0003E|0|I2017|15|13|15|1|20|1|0|1|0|0|0|0|1|1|0|0|0|1|1|2|0|0|1|0|0|0|1|0|0|1|1|1|1|1|0|1|0|1|1|1|11/10/2017 0:00:00|
32FIZ0080O|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.80|ZACATECAS|019|JALPA|0001|JALPA|CALLE HEROES DE CANANEA COLONIA UNION OBRERA|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0003P|32ADG0003E|0|I2017|9|15|9|0|30|1|0|1|0|0|0|0|1|1|0|0|0|1|1|2|1|0|0|0|1|0|0|0|1|0|0|1|1|1|1|1|1|1|1|1|11/10/2017 0:00:00|
32FIZ0081N|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.81|ZACATECAS|020|JEREZ|0001|JEREZ DE GARCÍA SALINAS|CALLE ATLAS|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0002Q|32ADG0008Z|0|I2017|11|11|11|0|25|1|0|1|1|0|1|1|0|1|0|0|0|3|0|3|0|0|1|0|1|0|0|0|1|0|1|1|1|1|1|1|1|1|1|1|25/10/2017 0:00:00|
32FIZ0082M|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.82|ZACATECAS|020|JEREZ|0001|JEREZ DE GARCÍA SALINAS|CALLE ATLAS|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0002Q|32ADG0008Z|0|I2017|6|12|6|0|50|1|0|1|0|0|0|0|0|0|0|0|0|1|0|1|1|0|0|0|0|0|1|0|0|1|1|0|1|1|0|0|0|1|1|1|23/10/2017 0:00:00|
32FIZ0083L|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.83|ZACATECAS|039|RÍO GRANDE|0001|RÍO GRANDE|PROLONGACIÓN LIBERTAD FRACCIONAMIENTO LOS ALAMOS|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0008K|32ADG0005C|0|I2017|11|10|11|1|30|1|0|1|0|0|0|0|1|1|0|0|0|1|1|2|1|0|0|0|0|0|1|0|0|1|1|0|1|1|1|1|0|1|1|1|07/11/2017 0:00:00|
32FIZ0084K|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.84|ZACATECAS|039|RÍO GRANDE|0001|RÍO GRANDE|PROLONGACIÓN LIBERTAD FRACCIONAMIENTO LOS ALAMOS|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0008K|32ADG0005C|0|I2017|7|19|7|0|50|1|0|1|0|1|1|0|1|1|0|0|0|1|2|3|0|0|1|0|1|0|0|0|0|1|1|0|0|1|1|1|0|1|1|1|30/10/2017 0:00:00|
32FIZ0085J|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.85|ZACATECAS|042|SOMBRERETE|0001|SOMBRERETE|CALLE LUZ RIVAS DE BRACHO|210|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0005N|32ADG0020V|0|I2017|12|15|12|1|5|1|0|1|1|0|1|0|1|1|0|0|0|2|1|3|1|0|0|1|0|0|0|0|1|0|0|0|1|1|1|1|0|1|1|1|26/10/2017 0:00:00|
32FIZ0086I|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.86|ZACATECAS|003|ATOLINGA|0001|ATOLINGA|CALLE COLORADO|23|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0012X|32ADG0004D|0|I2017|6|12|6|0|35|0|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|0|0|0|0|0|1|0|0|1|1|0|1|0|0|1|0|1|1|1|01/11/2017 0:00:00|
32FIZ0087H|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.87|ZACATECAS|048|TLALTENANGO DE SÁNCHEZ ROMÁN|0001|TLALTENANGO DE SÁNCHEZ ROMÁN|PROLONGACIÓN ATOLINGA (BARRIO EL OBISPO)|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0012X|32ADG0004D|0|I2017|11|14|11|1|30|1|0|1|0|0|0|0|0|0|0|0|0|1|0|1|1|0|0|0|1|0|0|0|1|0|0|0|0|1|0|1|0|1|0|0|31/10/2017 0:00:00|
32FIZ0088G|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.88|ZACATECAS|047|TEÚL DE GONZÁLEZ ORTEGA|0001|TEÚL DE GONZÁLEZ ORTEGA|PROLONGACIÓN ATOLINGA|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0012X|32ADG0004D|0|I2017|8|15|8|0|45|1|0|1|0|0|0|0|0|0|0|0|0|1|0|1|1|0|0|0|0|0|1|0|1|0|0|0|1|1|0|1|0|1|1|1|20/10/2017 0:00:00|
32FIZ0089F|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.89|ZACATECAS|049|VALPARAÍSO|0098|SAN ANTONIO DE PADUA|CALLE ARROYO|3|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0009J|32ADG0026P|0|I2017|8|13|8|1|30|1|0|1|0|0|0|0|1|1|0|0|0|1|1|2|1|0|0|0|0|0|1|0|0|1|1|0|0|0|0|0|0|1|0|0|30/10/2017 0:00:00|
32FIZ0090V|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.90|ZACATECAS|049|VALPARAÍSO|0001|VALPARAÍSO|PROLONGACIÓN FRANCISCO I. MADERO|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0009J|32ADG0026P|0|I2017|5|13|5|6|30|1|0|1|0|0|0|0|1|1|0|0|0|1|1|2|1|0|0|0|0|0|1|0|0|1|1|0|1|1|0|1|0|1|1|0|10/11/2017 0:00:00|
32FIZ0091U|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.91|ZACATECAS|020|JEREZ|0001|JEREZ DE GARCÍA SALINAS|CALLE ATLAS|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0002Q|32ADG0008Z|0|I2017|11|8|11|0|35|1|0|1|0|0|0|0|1|1|0|0|0|1|1|2|1|0|0|1|0|0|0|0|0|1|1|0|1|1|1|1|0|1|1|1|03/11/2017 0:00:00|
